ASIN,コード,タイトル,メーカー、ブランド,定価,新品価格,新品安値ギャップ,新品数,中古最安値,中古安値ギャップ,中古数,在庫,ランキング,レビュー数,発売日
"B0007L8UJU","4948872101554","ポポロクロイス物語 ピエトロ王子の冒険","ソニー・コンピュータエンタテインメント","","7,150","5,850","2","635","4","26","×","15,726","61","2005/02/10"
"B0009NUP7G","4948872101608","天地の門","ソニー・コンピュータエンタテインメント","5,184","1,440","0","11","340","0","51","○","10,011","17","2005/07/21"
"B000CQGTGQ","4948872101776","モンスターキングダム・ジュエルサモナー","ソニー・コンピュータエンタテインメント","5,184","3,449","1","6","485","2","31","○","6,643","19","2006/02/23"
"B000FGUNHY","4948872101950","ブレイブ ストーリー  新たなる旅人","ソニー・コンピュータエンタテインメント","5,184","4,081","1,099","3","1,258","12","46","○","4,261","77","2006/07/06"
"B000H6JSH8","4948872102049","ジャンヌ・ダルク","ソニー・コンピュータエンタテインメント、￥ 37","","4,389","591","3","375","5","52","×","2,333","67","2006/11/22"
"B000SYIU0K","4948872102087","リゼルクロス","ソニー・コンピュータエンタテインメント","5,122","2,350","4","17","880","9","31","○","9,988","25","2007/09/06"
"B002XISAOU","4948872449342","PSP「プレイステーション・ポータブル」 KINGDOM HEARTS Birth by Sleep『KINGDOM HEARTS EDITION』 (PSPJ-30012) 【メーカー生産終了】","スクウェア・エニックス","","29,850","0","9","10,250","2,090","20","×","7,642","35","2010/01/09"
"B000IU8WX4","4948872680042","ワイルドアームズ クロスファイア","ソニー・コンピュータエンタテインメント、￥ 369","5,122","3,180","119","17","910","0","40","○","6,021","57","2007/08/09"
"B00108TCVE","4948872680110","コーデッドソウル -受け継がれしイデア-","ソニー・コンピュータエンタテインメント、￥ 10","5,122","649","131","20","330","11","44","○","20,566","17","2008/02/07"
"B001IDYGBW","4948872680363","サルゲッチュ ピポサル戦記","ソニー・コンピュータエンタテインメント","5,122","3,330","0","12","690","79","28","○","18,768","3","2009/03/19"
"B002C1ARHQ","4948872680486","ジャックXダクスター エルフとイタチの大冒険","ソニー・コンピュータエンタテインメント","5,122","2,936","1","15","1,405","295","18","○","13,223","7","2009/11/19"
"B002PK0KP8","4948872680547","勇者のくせになまいきだ:3D","ソニー・コンピュータエンタテインメント","4,249","4,249","1","3","1,250","0","26","○","5,795","39","2010/03/11"
"B004FLJMLS","4948872680608","白騎士物語 -episode.portable- ドグマ・ウォーズ","ソニー・コンピュータエンタテインメント","5,122","436","4","33","340","1","62","○","12,457","92","2011/02/03"
"B005FOJCSM","4948872680615","俺の屍を越えてゆけ (通常版)","ソニー・コンピュータエンタテインメント","5,122","2,110","69","21","1,390","155","51","○","943","78","2011/11/10"
"B005FOJCA0","4948872680622","俺の屍を越えてゆけ ~復活記念限定版~ (プロダクトコード同梱)","ソニー・コンピュータエンタテインメント","7,180","5,780","20","18","1,700","0","18","○","5,214","12","2011/11/10"
"B000QG42OS","4948872690041","ジャンヌ・ダルク PSP the Best","ソニー・コンピュータエンタテインメント","2,880","2,660","57","9","770","150","19","○","10,927","34","2007/07/05"
"B002RL96ZK","4948872690232","ワイルドアームズ クロスファイア PSP the Best","ソニー・コンピュータエンタテインメント","2,880","2,010","263","6","1,351","1","5","○","4,132","","2009/11/26"
"B0095OXAN6","4948872690423","俺の屍を越えてゆけ PSP the Best","ソニー・コンピュータエンタテインメント","3,150","2,530","620","7","1,860","44","5","○","11,838","6","2012/11/01"
"B0095OXCGQ","4948872690430","白騎士物語 -episode.portable- ドグマ・ウォーズ PSP the Best","ソニー・コンピュータエンタテインメント","1,851","535","5","16","535","5","5","○","20,222","","2012/11/01"
"B00A2M22IE","4948872690461","BLEACH ~ヒート・ザ・ソウル7~PSP the Best","ソニー・コンピュータエンタテインメント、￥ 1,095","2,800","2,179","1","13","2,179","1","4","○","7,371","","2013/01/24"
"B00HWN7NKS","4948872690485","俺の屍を越えてゆけ PSP the Best","ソニー・コンピュータエンタテインメント、￥ 672","1,800","1,453","0","12","1,453","0","1","○","1,922","","2014/03/06"
"B00HWN7NOE","4948872690492","パタポン 3 PSP the Best","ソニー・コンピュータエンタテインメント、￥ 54","1,851","1,445","5","12","1,445","5","","○","17,220","","2014/03/06"
"B000GWKY8U","4949244001137","アントールドレジェンド ウォーリアーズ・コード","ユービーアイ ソフト","5,378","2,370","10","8","650","125","20","○","24,524","8","2006/10/26"
"B002QQ755O","4949244001915","アサシン クリード ブラッドライン【CEROレーティング「Z」】","ユービーアイ ソフト","5,378","5,700","300","5","2,250","0","21","○","7,353","42","2009/12/23"
"B000FMPQ5M","4949776311018","キングスフィールド アディショナルI","フロム・ソフトウェア","4,104","4,138","10","5","780","10","17","○","21,082","19","2006/07/20"
"B000G0BSXC","4949776311025","キングスフィールド アディショナル II","フロム・ソフトウェア","4,104","1,980","0","8","830","200","14","○","17,891","","2006/08/24"
"B000F6XYA2","4956027124327","ぐるみん","日本ファルコム","","19,800","","1","2,080","390","6","×","15,121","17","2006/06/29"
"B000FJ56FK","4956027124341","英雄伝説 空の軌跡FC","日本ファルコム","","14,800","3,540","5","1,576","8","32","×","1,386","215","2006/09/28"
"B000N5GQ7S","4956027124686","英雄伝説 空の軌跡SC","日本ファルコム","6,264","6,000","","","1,645","3","35","○","4,433","120","2007/09/27"
"B000X3P44G","4956027124709","空の軌跡 マテリアルコレクションポータブル","日本ファルコム、￥ 80","4,104","3,227","943","7","590","5","27","○","6,312","12","2007/12/20"
"B000X3UNR4","4956027124716","英雄伝説 空の軌跡 完全版","日本ファルコム","13,880","13,839","1","5","3,889","11","13","○","19,794","21","2007/12/20"
"B0012YXXBQ","4956027124723","ヴァンテージマスターポータブル","日本ファルコム","5,184","1,859","0","19","540","15","35","○","15,081","26","2008/04/24"
"B0018CQH3I","4956027124747","英雄伝説 空の軌跡 the 3rd","日本ファルコム","5,184","3,498","0","13","1,150","205","44","○","6,302","74","2008/07/24"
"B001F0Q0S0","4956027124792","ツヴァイ!!","日本ファルコム、￥ 355","5,184","1,850","0","11","795","120","27","○","5,400","14","2008/12/11"
"B001GAQFRU","4956027124808","英雄伝説空の軌跡セット","日本ファルコム、￥ 3,409","","19,800","0","4","5,710","13","18","×","3,449","49","2008/11/27"
