ASIN,コード,タイトル,メーカー、ブランド,定価,新品価格,新品安値ギャップ,新品数,中古最安値,中古安値ギャップ,中古数,在庫,ランキング,レビュー数,発売日
"B003E5N7S0","0013388330171","MotoGP 09/10 (輸入版)","THQ","","5,980","220","9","3,390","2,590","1","×","22,799","2",""
"B002DC8GEK","0013388330195","Lost Planet 2(輸入版:アジア)","Capcom Entertainment(World)","8,400","1,789","1","8","925","35","7","○","44,006","","2010/05/18"
"B002EE5ROO","0013388330201","Dead Rising 2(輸入版:北米・アジア)","Capcom Entertainment(World)","6,020","3,330","88","11","1,948","22","3","○","25,268","2","2010/09/28"
"B002TDIEE0","0013388330232","Super Street Fighter IV(輸入版:アジア)","Capcom Entertainment(World)","6,440","1,890","10","8","1,030","860","1","○","34,340","","2010/04/27"
"B003IE9V28","0013388330263","Marvel vs. Capcom 3: Fate of Two Worlds( 輸入版 )","Capcom Entertainment(World)","1,390","1,390","0","9","840","550","1","○","35,101","","2011/02/15"
"B004UDLRMS","0013388330386","Resident Evil: Operation Raccoon City(輸入版)","Capcom Entertainment(World)、￥ 56","1,480","1,830","100","10","998","1","8","○","21,224","7","2012/03/20"
"B003O6HGHM","0013388330447","Asura's Wrath(輸入版)","Capcom Entertainment(World)","1,620","1,620","0","9","1,135","485","1","○","44,939","","2012/02/21"
"B003O6E9T0","0013388330485","Steel Battalion Heavy Armor(XBOX360 輸入版　北米）","Capcom","1,390","1,390","0","9","1,390","0","1","○","47,719","",""
"B005C7R8I8","0013388330522","Ultimate Marvel vs Capcom 3(輸入版)","Capcom Entertainment(World)","2,890","2,890","0","10","2,890","633","1","○","41,478","","2011/11/15"
"B003O6CACS","0013388330577","Super Street Fighter IV Arcade Edition (XBOX360 輸入版）","Capcom","2,090","2,090","100","8","2,013","77","1","○","38,622","",""
"B003O6G6G4","0013388911073","Dragon's Dogma(輸入版)","Capcom Entertainment(World)、￥ 99","5,880","1,680","400","11","1,680","235","3","○","39,066","","2012/05/22"
"B008XMSRKC","0013388911165","Remember Me (輸入版:北米)","Capcom Entertainment(World)","3,180","3,133","3","13","2,557","576","2","○","10,090","","2013/06/04"
"B000R0PLK2","0014633098495","The Orange Box(輸入版)","Electronic Arts(World)","3,390","3,390","0","10","1,112","178","5","○","22,594","","2007/10/09"
"B002BRZ852","0014633098778","(360)LEFT 4 DEAD 2(輸入版：アジア版)","VALVE","4,280","4,279","1","4","3,349","930","3","○","21,810","2",""
